"freq","stay"
"Regular","2-9"
"Regular","2-9"
"Regular","2-9"
"Regular","2-9"
"Regular","2-9"
"Regular","2-9"
"Regular","2-9"
"Regular","2-9"
"Regular","2-9"
"Regular","2-9"
"Regular","2-9"
"Regular","2-9"
"Regular","2-9"
"Regular","2-9"
"Regular","2-9"
"Regular","2-9"
"Regular","2-9"
"Regular","2-9"
"Regular","2-9"
"Regular","2-9"
"Regular","2-9"
"Regular","2-9"
"Regular","2-9"
"Regular","2-9"
"Regular","2-9"
"Regular","2-9"
"Regular","2-9"
"Regular","2-9"
"Regular","2-9"
"Regular","2-9"
"Regular","2-9"
"Regular","2-9"
"Regular","2-9"
"Regular","2-9"
"Regular","2-9"
"Regular","2-9"
"Regular","2-9"
"Regular","2-9"
"Regular","2-9"
"Regular","2-9"
"Regular","2-9"
"Regular","2-9"
"Regular","2-9"
"Less than monthly","2-9"
"Less than monthly","2-9"
"Less than monthly","2-9"
"Less than monthly","2-9"
"Less than monthly","2-9"
"Less than monthly","2-9"
"Never","2-9"
"Never","2-9"
"Never","2-9"
"Never","2-9"
"Never","2-9"
"Never","2-9"
"Never","2-9"
"Never","2-9"
"Never","2-9"
"Regular","10-19"
"Regular","10-19"
"Regular","10-19"
"Regular","10-19"
"Regular","10-19"
"Regular","10-19"
"Regular","10-19"
"Regular","10-19"
"Regular","10-19"
"Regular","10-19"
"Regular","10-19"
"Regular","10-19"
"Regular","10-19"
"Regular","10-19"
"Regular","10-19"
"Regular","10-19"
"Less than monthly","10-19"
"Less than monthly","10-19"
"Less than monthly","10-19"
"Less than monthly","10-19"
"Less than monthly","10-19"
"Less than monthly","10-19"
"Less than monthly","10-19"
"Less than monthly","10-19"
"Less than monthly","10-19"
"Less than monthly","10-19"
"Less than monthly","10-19"
"Never","10-19"
"Never","10-19"
"Never","10-19"
"Never","10-19"
"Never","10-19"
"Never","10-19"
"Never","10-19"
"Never","10-19"
"Never","10-19"
"Never","10-19"
"Never","10-19"
"Never","10-19"
"Never","10-19"
"Never","10-19"
"Never","10-19"
"Never","10-19"
"Never","10-19"
"Never","10-19"
"Regular","20+"
"Regular","20+"
"Regular","20+"
"Less than monthly","20+"
"Less than monthly","20+"
"Less than monthly","20+"
"Less than monthly","20+"
"Less than monthly","20+"
"Less than monthly","20+"
"Less than monthly","20+"
"Less than monthly","20+"
"Less than monthly","20+"
"Less than monthly","20+"
"Never","20+"
"Never","20+"
"Never","20+"
"Never","20+"
"Never","20+"
"Never","20+"
"Never","20+"
"Never","20+"
"Never","20+"
"Never","20+"
"Never","20+"
"Never","20+"
"Never","20+"
"Never","20+"
"Never","20+"
"Never","20+"
